,index,questionText,re_diagnosis,topics,clean_answer_text
10,29,I loved him more than anything. He passed away on our anniversary which was also the day I was going to apply for our apartment. I'm not handling it well. I moved to a new town and started a new life but nothing helps.,Mood Disorders,Grief and Loss,"I am so sorry to hear of your boyfriend's passing. Grief is something that can take a long time to recover from. Have you considered speaking with a grief counselor? Being able to speak with someone that specializes in grief would be very beneficial. Do not get down on yourself for not recovering quickly. This is one of the hardest aspects to deal with in life but eventually you will be able to move forward. In the mean time, immerse yourself with positivity (i.e. Good friends, hobbies, exercise) and try to schedule a time with a counselor. Perhaps there will be a support group you could also join. Oftentimes, it is comforting to meet others who share the same experience as you.Good luck to you. I hope you will find peace and comfort soon."
11,30,I did some horrible sexual things as a kid and I regret everything. Can someone help me cope with myself? Can someone help me remember my past?,Mood Disorders,"Trauma,Human Sexuality","I'm very sorry to hear this. Hypnosis can be a valuable tool that a trained therapist can use to bring back suppressed memories. However, keep in mind that hypnosis doesn't work for everyone. I think regardless, speaking with a therapist about your sexual issues would be beneficial. It seems like you have experienced some painful experiences in the past and may need help dealing with them in order to move forward. In addition, if past memories do resurface a trained therapist will be able to help you cope with them as they arise. I wish you the best of luck and I hope you receive the treatment that you deserve."
12,33,What do I do if I have been feeling like I could never be with anyone because no one would want me. Or I couldn't have many friends because of who I am. It's strange I want to be loved but I'd hate to be because I always lose.,Anxiety Disorders,Relationships,"I'm sorry you are feeling uncared for. I'm sure there are plenty of people that care and love for you that you are not taking into consideration. Sometimes when we get upset we may think irrationally and see the world as all or nothing. However, take a deep breath, relax and start focusing on the positive relationships you have with others, regardless of how small or insignificant they may seem. I think you will quickly realize there are people out there that care a great deal about you.I also think it would help for you to surround yourself among people who you can identify with and share common interests with. Maybe you can attend a religious service, join an interest group (i.e. reading club, sports group, etc.) or start a group of your own. Most importantly, you need to tap into your interests and surround yourself with things that are beneficial for your own mental and physical health. From this, relationships will start to immerse. You may also like to talk with a therapist regarding your feelings of being unloved. This is an unhealthy way to think of yourself and I think with a little help, you can see that you are more than deserving of a great relationship. Thanks for reaching out and I wish you the best of luck moving forward."
13,34,"What makes my step child, an 8 year old boy, choke my daughter, a 6 year old girl? This has been going on for 4 years. The boy tells my daughter not to tell on him. He knows it's wrong; we have did time out, spanking, taking away toys, and sitting on the wall. I am afraid for my daughters safety!",Anxiety Disorders,"Anger Management,Parenting","I can see why you are alarmed. That is a scary situation for a parent. Do you know if the child has been evaluated by a mental health professional? Early treatment is often the key. A professional will be able to help the child learn how to control their anger and mend the troublesome actions into more appropriate responses. Have you addressed your concerns with the child's other parent? There could be contributing factors in his life that could be causing these issues (exposure to violence, sexual/physical abuse, drug use, stressful events in his life, etc.). It is important that these factors are identified so that they can either be eliminated and/or reduced. I wouldn't hesitate to have him evaluated (if he hasn't been already) and to ensure that he is getting the help that he needs whether it be medication and/or therapy. Until then, I would make sure that he is always supervised under an adult's care."
14,35,I have this weird fetish that I'm afraid to open up about it. What should I do?,Mood Disorders,Intimacy,"This is difficult to answer because you don’t tell us what the fetish is.  I do understand that this is something that is bothering you though. The first thing to ask yourself is if this is something that is illegal or not.  If this is illegal to engage in, then you need to seek counseling help immediately to control the urges.However, if your fetish is not something illegal and you just feel that it is something odd, a therapist could still help you deal with these feelings.  You may find that it is something very common and not something to be ashamed of.  You may find other people have the same interest as you.  Find a therapist that you can trust and tell them.  Don’t hold back with your therapist.  Trust me, they have heard and seen it all by now, and they can help you either stop the behavior that is causing you distress, or help you come to terms with accepting the behavior as part of who you are.  There is no need to suffer with this alone."
15,36,"My coworkers are making false statements about me to the boss, saying I have mood swings. They have no proof to back it up. Can my employer make me see a therapist of their choice?",Anxiety Disorders,Workplace Relationships,"I can’t give you legal advice, but employers can suggest you see someone if your behavior is affecting your job. I believe most government agencies have an Employee Assistance Program (EAP) where employees can talk to a therapist about any issue, not just work-related, for free (up to a certain amount of sessions).I’m wondering, though, why your coworkers would tell your boss this if it’s not true. Is it possible that you're not aware of how your interactions are affecting others? Maybe this “forced counseling” can be an opportunity for some introspection on your part."
16,37,I'm in a state of depression right now. Who can I talk to? I've been sick in a lot of pain and crying. Don't know where to turn.,Mood Disorders,Depression,"First of all, if you’re sick and in pain, have you seen your doctor? If you have a chronic illness and pain, this can often lead to depression and is very common. You’ve taken the first step to dealing with it. You can talk to your doctor, even if your depression isn’t related to your health. He or she can either look at prescribing you an antidepressant or can refer you to a psychologist or psychiatrist.If that’s not really an option for you, there are also helplines (local or national) or support groups where people dealing with similar issues can talk to each other. If you can't find any in your area (newspapers usually publish this information), there are online support groups as well."
17,39,I'm a 40 year old male and having erection problems. Still have the desire for a woman. Awfully frustrated. Any suggestions? My Doc doesn't want to discuss it.,Mood Disorders,Intimacy,"Hi there, first off I have to commend you for reaching out. It takes a lot for a man to reach out for help when it comes to erection problems. Believe it or not, this problem is very common for men and women. There are some things that you can try naturally, before resulting in medication, such as your eating habits and exercise. I would suggest taking a look at what you are consuming throughout the day. Do you consume a healthy diet and do you exercise regularly? How much caffeine and sugar do you intake daily?  These are just a few common things to look at. You would be surprised of how much pressure what we consume puts on our bodies. Our bodies are like a car. You have to maintenance it, in order for it to continue to run. If you would like to get further natural advice and/or suggestions on eating healthy and exercising, I would recommend you see a nutritionist. A nutritionist specializes in maintaining a healthy diet. As far as your Doctor, I would recommend looking into getting another Doctor. I have never heard of a medical professional not wanting to talk about anything. That appears to be a personal issue on their part. I hope I was helpful and I wish you the best of luck!"
18,47,"In particular during family gatherings (such as funerals), where there are different customs.",Anxiety Disorders,"Spirituality,Family Conflict","I think the best thing you can do is be respectful of each family member's wishes. Although everyone may not agree with one another, the most important thing you can do for each other is to respect their faith and beliefs instead of trying to sway them in a certain direction. There are many families that are united despite their differences. For example, a mother may be Catholic and the father Jewish. By introducing the children to each faith until they are ready to decide for themselves can be beneficial. Also, it's not uncommon for views to change as one ages or faces different life experiences. So don't get too discouraged if your child wants to explore different avenues. Creating a loving and accepting environment is most essential."
19,49,I'm worried I should see a therapist due to past events and current mental status. I'm just so unsure of how to ask my doctor about seeing someone.,Anxiety Disorders,Professional Ethics,"Thanks for your question. I'm glad you realize that you need extra support and are being proactive. Simply explain to your doctor the feelings you have been experiencing and how you feel that speaking with a mental health therapist would be beneficial. However,  keep in mind that you do not have to go into detail about your personal feelings. You can simply state that you are feeling down, overwhelmed, stressed, or whatever it may be. I'm sure your doctor will be glad to direct you from there. Best of luck you you! I hope that you will be feeling better soon!"
20,51,I'm worried I should see a therapist due to past events and current mental status. I'm just so unsure of how to ask my doctor about seeing someone.,Anxiety Disorders,Professional Ethics,"Having this kind of conversation with a doctor can feel difficult.  But remember, you are the expert on you.  Any good medical professional will recognize that.You are absolutely right to think about the importance of being your own health care advocate.  Generally, the best approach is simply to be honest.  Let your doctor know what you are concerned about and tell your doctor what you think might help.  If there is a specific issue that you’d like to address in counseling, let you doctor know about it.  And don’t hesitate to directly ask for a referral.I know this may all feel a little overwhelming.  It might help to bring a family member or significant-other with you to provide support when you talk to your doctor.  It’s great that you’ve already taken this first step to reach out.  You’re on the right track."
21,53,I haven't uttered one word to my boyfriend in days. Now I'm over it and don't know how to approach the situation?,Anxiety Disorders,Relationships,"In any relationship, it is important to be able to say ""I'm sorry"" because it shows vulnerability and openness. I recommend that you sit and have a discussion with him now that you are calm about why you were upset and how you would like to handle such incidents in the future. If you find yourself becoming upset again, I encourage you to take a 20 minute break and then come back to the conversation once you are no longer heated. Studies show that talking or discussing arguments are more effective once you have cooled down and you are more likely to hear/understand what your partner is trying to convey."
22,58,"She cried because she lost all trust in me. Now I feel disgusting and like my heart just got stabbed, what do I do?",Anxiety Disorders,Parenting,"Hey!  Sounds like the part of you that knows the RIGHT thing to do won here!  I am so proud of you for admitting that you lied to your Mom!  Sometimes lies come out of our mouths before we can even catch them because we are trying to say what the other person wants to hear.  I bet that, as you begin to show her that you are not going to lie any more, she will begin to gain trust in you again!  Be open with your feelings with you Mom - she is there to support you, guide you and love you!  Give her lots of hugs - and give yourself one too for being so brave!  Be Wise!"
23,59,"When having sex I think of other men and want other men all day long. Been married 3 years, together 14. What do you think?",Mood Disorders,Intimacy,"Sustaining passion in marriage is tough stuff. It's a relatively modern dilemma you are facing with perhaps unrealistic expectations of what marriage ""should"" be. It sounds like your definitions of love and sexual passion have merged together, that's both common and confusing! Intimacy and sexuality within your marriage are bound to ebb and flow. Resparking your passion will involve growing. Using your sexual drama and fantasies as windows into discovering your needs (security) and wants (desires). Marriage is a people growing process; you mature into one another and to achieve fulfillment your continued development will be required."
24,60,We make love once per month. Is it normal?,Mood Disorders,Intimacy,"To begin with, what's normal for one couple isn't going to be normal for the next, every couple has their own normal and that's important to keep in mind. Your sexual lives will ebb and flow. What I'd be more curious about is the quality rather than the quantity of the sex you are having. I'd also want you both to refocus on building up your little daily moments of connection, I wrote a post about exactly that a while back and you can find it here."
25,61,"In this argument my friends are all against me so I'm wondering if I'm exaggerating my feelings. I feel like I'm being attacked and that is making me blow things out of proportion and taking the role of the victim, when in reality I'm the one being unreasonable and I am simply annoying my reasonable friends. Or are they really being insensitive and not respecting me in our friendship?",Anxiety Disorders,Social Relationships,"Conflict is a tricky beast and shows up in every one of our relationships. What I'm reading is that you find yourself in a loop of  seeking validation of your thoughts and feelings from your friends rather than validating yourself. Am I right? If you aren't validating yourself, no one else will be able to either.  Try finding a small nugget of truth in the feedback your friends give you, this will help to lower your defenses and help your friends hear what you are really sharing.  And then if you are still feeling vulnerable, share that too..."
26,62,I am always down and out. Could this be postpartum depression?,Mood Disorders,Depression,"Probably.  I always tell the new parents I work with (and this is just as true for dads as it is for moms) that if you are feeling off, seek help.  Postpartum Support International (www.postpartum.net) is a great place to start finding resources and locating support."
27,64,We do communicate but one of us has trouble accepting what the other person says. How can I fix things?,Anxiety Disorders,Relationships,"Being able to accept your partner's influence is a key relationship skill. And it's very two sided.  Chances are if you don't feel your partner is being influenced by you, they likely don't feel you are being influenced by them either. The best fix you can practice is to soften yourself into your partner and see how much more open you can be to their influence.  Play with it."
28,70,"I regret ever hurting her and they mean the world to me. But it feels like nothing I do seem to work.
I'll always love them no matter what and when I'm with them nothing else matters. I love them more then anything. I don't want another guy raising my kids.",Anxiety Disorders,"Parenting,Relationships","How you you expressed your regret and taken responsibility for the pain thus far? Repair is a very essential skill in and part of developing healthy relationships. Your love sounds deep, sit with that. Also sit with how she's been hurt. You get to feel your hurt too and your kids. In feeling all this you may also find our way to the repair. If feeling all this is tough to take on, seek out a local therapist to support your process."
29,71,I have dog obsession disorder and I am having problems with my girlfriend because I am placing more importance to my two dogs over her. How do I get over this problem and prioritize my girlfriend over my two dogs?,Anxiety Disorders,Relationships,"Hey, dogs are cool. They adore pleasing humans and often LOVE to work on learning what you want and expect from them. Your girlfriend on the other hand, likely has her own desires and needs that she attend to before tuning into yours. You are good with dogs, that tells me that you've spent some time observing their behavior. The first step in working through this issue would be similar, start to tune into and observe your girlfriend more often... Observation is a skill when it comes to relationship building. The skills you have mastered in relating with your dogs can carry over, you will just have to relearn what behaviors you are watching. And keep in mind that also means observing yourself in relationships."
30,72,I find myself lying about small everyday things that there is really no need to lie about. How do I figure out what triggers me to do this? And how do I help overcome this problem? I would like to become more honest and open no matter the situation.,Anxiety Disorders,Relationships,"Well let's start with the awesome realization you've already had, you want to notice that you have triggers. That's huge. Really. I find that when people lie, it's most often as a defense mechanism. Which is likely a flag that something doesn't feel safe. What exactly doesn't feel safe could be lots of different things but the key to notice is that it's that feeling of insecurity that is very likely triggering you. It could really help to explore this with therapist, perhaps even someone with a trauma specialty -- that's not to say this is related to a trauma but more so to suggest that therapists specializing in trauma are very skilled at helping to identify and assist in repatterning your triggers!"
31,73,I've been like this ever since I was in school; back then I transferred to another school. Now I'm thinking about changing my job.,Anxiety Disorders,"Anxiety,Career Counseling","I recommend that you make a list of all the reasons you should change your life and all of the reasons you shouldn't change your life. Can the problem you are in be fixed? Is there others you can lean on for support? Are there other people you know who have been through a similar experience and are willing to share their story with you? It is important to rely on your support network to help you get multiple points of view. If you believe you need additional help, I suggest seeing a professional."
32,74,"I keep hearing I am attractive from people around me, and I think I believe it. But I have low confidence regarding approaching girls I like.",Mood Disorders,"Self-esteem,Relationships","I recommend that you focus on the negative thoughts or irrational beliefs that are going through your mind at the time in which you are trying to approach a girl. When you are aware of the negative thoughts or irrational beliefs, you can then work on changing them. An easy way to recognize an irrational belief is a thought that contains the words ""must or never."" Once you recognize the thought or belief, I would like you to picture a big red stop sign. This is called thought stopping. This is a technique to use to stop unwanted or unhealthy thoughts. Then, I would like you to think of a more positive thought to replace it with such as: Negative thought: ""That girl will never go out with me"" STOP Positive thought: ""I won't know if she will go out with me unless I ask"". What this does is increase your self confidence by replacing your negative thoughts with positive ones that will ultimately boost your self esteem."
33,75,We have been fighting a lot and have 3 kids but we both want to stay together. I need some help to save our family.,Anxiety Disorders,Relationships,"Hello, I do not live in the California area. However, perhaps I could make some suggestions as to where you might look for free counseling. First, I must mention that most insurances now cover for many different types of issues, including family issues. If your girlfriend lives with you, most insurances now cover ""live-in partners,"" as well. If you have insurance, contact your policy provider and ask whether or not couples counseling is included.Aside from insurance, the next place that comes to mind is a religious affiliation. Do you belong to a church or other religious organization? Many of the pastors or leaders in these disciplines have significant training in counseling, as well as assisting with marriage and couples counseling. These services are ordinarily offered free of charge to members.Another option might be to explore support groups within the area. There may be a group in the form of a couples support group that brings couples together to explore their relationships in the safety of the group. If you find there are no such groups in your area, there are anonymous, support groups online. Here is one such site: http://relationship.supportgroups.com/"
34,76,I'm currently dating someone else and I really like him. But I love and miss my ex so much. What do I do?,Anxiety Disorders,Relationships,"Finding the right person is a tricky thing to do. Why did you and your ex break up 3 months ago? In relationships with others you get to see a reflection of yourself.  Sometimes you may enjoy that reflection, other times it may not feel so good. I'm not sure where you are in your life and relationships and what you do from here depends on what you desire more of in your life. But I'm not simply talking in the moment desire, I'm referring to the direction you want your life to go. If one of these guys was to support you...who would help you reach your dreams? And who would you enjoy spending time with? It's complicated and no one can answer the 'what to do' question but you.  Slow down. Tune into your heart. Listen."
35,77,I feel like I have to be promiscuous in order to keep people around? It started after I got raped by my ex-boyfriend.,Mood Disorders,"Relationships,Self-esteem","I recommend that you seek professional services to address the trauma you experienced. EMDR has been proven to be very effective in treating trauma. In addition, a support group might be helpful to find a more stable support network. Either a support group for victims of rape or sex/love addiction www.sa.org sound appropriate. Whichever group resonates the most with you will be the most helpful. If you have any additional questions or concerns, please feel free to ask."
36,79,"Cheating is something unacceptable for me but because we have two daughters I decided not to break up the family.
However, now I am struggling to forget and forgive what happened. I feel like I cannot trust him. Without trust, I cannot stay in this relationship. On the other hand, I do not want my children to get hurt. I'm not sure how to move forward?",Mood Disorders,"Relationships,Marriage","Let's just start with acknowledging that trust is huge and betrayal hurts. You're entitled to your feelings; all of them and you need to know that your husband understands you. That said some ways are more effective at rebuilding and repairing relationships that others. I am a big fan of The Gottman Method for couples therapy, especially following infedienity. You can read about this approach in Gottman's books: ""The Science of Trust"" and ""Making Love Last"" and/or you can seek a Gottman Certified couples therapist here: https://www.gottman.com/private-therapy/"
37,81,He goes out with her to dinner/brunch/movies when we are not together (we live 2 hours apart).,Anxiety Disorders,Relationships,"Would you have the same desire to meet this friend if she were a he? If you are concerned that their friendship is a substitute for you when you aren't present, talk to him. It sounds like you are concerned that he is building an emotional intimacy with her and spending time doing the sort of things with her that you'd otherwise be doing with him. Help him understand why this bothers you but try to also be open to allowing him to make friends. Is the issue that he hasn't introduced you? Is there another reason you don't trust their friendship?"
38,82,What do I do if I have been feeling like I could never be with anyone because no one would want me. Or I couldn't have many friends because of who I am. It's strange I want to be loved but I'd hate to be because I always lose.,Anxiety Disorders,Relationships,What would make you feel no one wants to be with you?
39,83,"I'm in a relationship, but I feel like I'm always putting more into it and not getting reciprocated. My ex told me that I will never find anyone else, and that's lingering in the back of my mind.",Anxiety Disorders,Relationships,"The most crucial key to any relationship is that mutual feeling you hold between you both: that you matter.  Sounds like you are stuck in a cycle of hearing your ex say you don't matter. That's why it didn't work with him btw. He wasn't reflecting to you that you mattered. However it ended, clearly though that's the sentiment that's lingering with you.  So here you are hanging around a new man why is telling you the same message. Move on. You aren't unworthy, you just haven't found a man who is worthy of you! To be worthy of you, he must see your worth. Often though before anyone else can see your worth, you have to believe it."
40,84,"This is preventing me from getting a job. I have bad relationship with my bipolar mother. I am living with her but it stresses me out so much to be around her that I have locked myself in my room. I have no friends or other family to help me. I have no money for therapy, but I think I need therapy before I can secure a job.",Anxiety Disorders,Anxiety,A good first step would be to make an appointment with your primary care provider & discuss your concerns.  They would have resources available to help in your particular situation.
41,86,"I have no self control over food. Most people stop when they've had enough, but I keep eating for the pleasure of it. Especially with sweets - I'm never done eating dessert.",Anxiety Disorders,"Eating Disorders,Addiction","I would recommend removing yourself from the environment you are in after you have finished eating. A simple walk around the block, calling up a friend and going to visit, or even going to another room in the house can help. If you find that you truly have no self control over food, I recommend attending Overeaters Anonymous; a 12 step group for those with compulsive issues related to food. I hope this helps."
42,88,"When I ask him who he is talking to, he tells me no one. But, it sounds like he is holding a conversation with someone. I have even accused him of having a secret cell phone. I ask so much, I feel like I am losing it.  Is he trying to make me question my sanity, or is he talking to himself?",Anxiety Disorders,Relationships,"A rare topic & likely extremely troublesome for you... I would need to have more background information on the two of you before beginning to offer any insight. Feel free to email me.I would also like to add that aside from the reality of whether or not these conversations are actually occurring, as your partner, he should be just as concerned about something that is disturbing you to this level.  Partners need each others' trust and support, no matter who is right or wrong."
43,89,Does this go against any ethical codes? Are there legal ramifications?,Anxiety Disorders,"Workplace Relationships,Professional Ethics","Generally, the ethical codes only prohibit relationships with clients. There are however a few types of counselor-to-counselor relationships that are prohibited by the ethics codes. Such prohibited relationships include those between supervisors and supervisees; between professors and students; or any time the relationship might negatively impact your (or their) clients. Lastly, some workplaces have rules against dating coworkers. It would be a good idea to check if there is such a rule that applies to you."
44,90,"We went out had great sex and I was really liking her. Then one day she says we should just be friends, but I can't stop thinking about her. She's always on mind and I want her back.",Anxiety Disorders,Relationships,"It can be really difficult when someone you care about doesn't feel the same about you. The most important thing to remember is that you can not make her feel a certain way.  There is nothing you can do to force her to want to be in a relationship with you.In the end, if she ""just wants to be friends"" then she's probably not the right match for you.Remember, every relationship ends - until that last one that doesn't.  And that is how it's supposed to be"
45,91,"She cried because she lost all trust in me. Now I feel disgusting and like my heart just got stabbed, what do I do?",Anxiety Disorders,Parenting,It sounds like you've already learned that just being honest is often the best approach. What do you think about telling your mom how you're feeling?  She might really appreciate it if you also let her know that regaining her trust is really important to you.
46,92,I'm a 40 year old male and having erection problems. Still have the desire for a woman. Awfully frustrated. Any suggestions? My Doc doesn't want to discuss it.,Mood Disorders,Intimacy,When a doc blows you off it may be a signal that it is time to find a new one! ED can often be caused by health issues. If all physical possibilities are ruled out then it's time to look within and enlist the help of a sex therapist. Here's a good article for you to start with.
