,question_text,topics,answer_text,q_token_count,a_token_count,tf_type,tf_type_zero_shot,tf_score
2826,"ive worked with this guy for about three years now and i knew the first time i saw him that i was attracted over time he became a very dear friend and we talked about our relationship problems family dreams and so on there was always flirtation with us and one day pretty recently it progressed to making out we agreed to keep it quiet and we did but in the back of my mind i hoped it would become something more it didnt and three months later im still not over it

im trying so hard to maintain the friendship because thats what he wants were no longer in the same office which i thought would help me get over these feelings but we still talk about work and hes constantly touching me so im still very drawn to him hes a hugger and such a sweet guy so i find myself fantasizing all the time about what could have been and what could still be but hes clearly not interested hes younger than me and prefers model types but i see him checking me out a lot which gives me hope how do i get him out of my system and still maintain the friendship",workplace relationshipssocial relationships,it sounds like a tricky situation if you want to maintain your friendship and continue to have regular contact with him getting over him may not be possible what makes it even trickier is that his actions hugs and touching may be misleading and are allowing you to believe that a romantic relationship is possible some ways in which we naturally get over others are when we fall in love with someone else or when we suddenly see the person we like in a more negative or unattractive light if you truly want to force yourself to get over him cutting contact or setting strict boundaries may be necessary if you dont see him over time you can begin to forget about him if you set boundaries by discontinuing to allow the hugs and touches you will not feel mislead or have the idea in your mind that he is being flirtatious or interested it would be difficult to continue the relationship as is and expect your feelings to change thus being proactive by talking to him about boundaries or cutting contact with him are two things you can do that will likely help you to get over him good luck,1,1,T,F,0.6447027921676636
269,i dont know if i have depression but i have been very sad there are nights that i dont sleep i dont eat all day sometimes i dont have energy to anything anymore,depression,these symptoms are all classic to the diagnosis of depressiona diagnosis itself doesnt help anyone get better  often people say the word depression as though it means something terrible   the diagnosis of depression can be depressingforget matching symptoms with a diagnosismore important to improvement is to know the reason for your sadness  when people become sad there is a reason for it and knowing this reason is the first step to changing the situation which creates the sadness in youthink of depression as a way to slow down and examine aspects of your life and relationships  if you continue at the same pace of living and didnt stop and examine your life then you may not notice what needs changing,1,1,T,T,0.5042861700057983
1324,my mother has quite severe undiagnosed ocd diagnosed posttraumatic stress disorder and maybe other mental health issues she is weeks away from moving in with me my husband and our three children i love my mother but once she gets within her own area she begins to tape all cracks and crevasses she cannot tolerate any smells,trauma,one way to handle the situation is to develop willingness to tolerate her unusual habits  would you be willing to talk with your kids that grandma is sensitive to smells and her way to address this is to tape up cracks and crevassesas long as her behavior isnt aggressive harmful to anyone unethical or immoral and youd like her to live with you then someone both sides need to be happy with the living conditionalso if you havent already done so negotiate with your mom that the common family areas are off limits to taping the the cracks  as part of adjusting to living with your family it is reasonable to expect she respect common areas and to limit her taping habit to her private sections within the houseapproach the matter fairly and with the expectation to satisfy all the people who are affected,1,1,T,T,0.7600851655006409
1736,i dont love my sister i would never wish her harm but if i could i would wish for us not to be related is this cruel why must blood mean we have to be friends am i being unreasonable and is there a way to fix this i do care about her like i do every human being but id rather be with my friends than be with her at all its not just a teenager phase i still love my mom and dad and im very close to them however its my sister i dont love or have ever really liked at all,familyconflict,not liking someone is not cruel  even if it is a family member there is nothing wrong with you for not liking your sister some people are fortunate to have siblings that they get along with really well other dont we all have different personalities and we are not going to like everyone  even if they are related in fact sometimes being related makes it harder because you know all of each others flaws and imperfections with that being said  it may be worth it to make an effort to talk about the things that get in the way of having the kind of relationship that you might ideally want with your sister sometimes it is hard to like someone if we have a lot of old frustration and resentment and being able to talk about it in a constructive and kind way can lead to more understanding and respect and sometimes actually liking each other,1,1,T,F,0.6648553013801575
2753,i am currently living in a hotel and i dont have a family  i met a guy a month ago  he is a bisexual  he has a lot of gay friends on social networking sites he would not help pay for the room  when i asked for the tv remote control he threw it elsewhere and asked me to get it i slapped him and asked him to leave my room  we recently just got back together  one time i was sick  he came to visit and feed me but left no money  then he texts me and brags about his house and car knowing that i have struggles living at a hotel  he says that he has a whole house where he can put me in and orders me to text him whenever i need someone to have sex with  he left his bath soap so he could come and get it  i think that he is trying to find a way to come back  please help me  whats going on  i am a good loyal woman  why is he treating me like this,relationshipshuman sexualitylgbtq,i am less concerned about this man as bisexual and having gay friends than about how you feel is treating you  you are in a vulnerable position because of social isolation  if you have friends to talk to please reach out  while this man has money it is not his job to take care of you financially unless the two of you have decided that together  it sounds like he sometimes cares for you and other times you feel disrespected  i would suggest you look for a man that is consistent in his love and care  this is not your fault  but you are in control of removing him from you life or choosing not to because he meets some of your needs  take care,1,1,T,F,0.5035125017166138
3974,"my mother is combative with me when i say i dont want to talk with her about my depression  

she hasnt been supportive of me in the past and she isnt someone that i feel comfortable opening up to she constantly tries to instigate conversations where she asks me questions that i dont want to or cant answer i tell her i dont want to talk and she starts arguments with me 

how can i get her to understand",family conflictdepression,your situation sounds extremely frustratingyoure doing the right move to state you dont want to discuss your depression with heri guess you could ask if she would like to know your reason to not speak w her about your depression  if you feel she can handle a reasonable conversation and you would like to tell her your true reason then schedule this or bring up the topic at a neutral time not in the middle of an argumenthaving an unsupportive mom is difficult enough to accept  you may feel greater success and peach of mind to meditate on accepting her lack of understanding than to engage in arguing when she starts this,1,1,T,T,0.814728856086731
1040,whether its to a guy or girl i always feel insecure talking and i am afraid of embarrassing myself and not being good enough even when i am walking i worry about my appearance and facial expression and such,selfesteem,hi im glad you wrote because i think a lot of people have this same issue to different degrees and we dont talk about it much you have some social anxiety that is a bit beyond what the average person might feel most people have some amount of worry about what others might think of them and this probably prevents us from making complete fools of ourselves so thats a good thing but your alarm system is out of whack and you are spending too much time worrying about how you come across as you age you understand this more and its truethat other people really arent thinking about you much or monitoring you at all theyre too busy having the same thoughts youre having am i good enough do people like me judge methink im weird were all concerned about how we come across far more than how others come across like many people you lack compassion for yourself acceptance of yourself and confidence in yourself my gut says that these things came from somewhere in your past our sensitivities usually come from as well as genetics a specific time in our life when we experienced or felt something that was overwhelming and we end up with an alarm system that overreacts at times without more details its difficult to go further here i recommend you see a therapist who does cognitive behavioural therapy which can help you understand the roots of your fears and learn how to manage them more successfully,1,1,T,F,0.683292806148529
2008,im having relationship problems and i want to fix them to make things right before i lose her how can i learn how to listen and get myself together,relationships,what an important question and the fact that youre asking it is a big step in the right direction to answer in detail would require having quite a bit more information about what relationship problems have occurred  that woke you up to the fact that youre not listening as well as you could and that youre running the risk of losing hergiven that i dont have all that information ill offer one simple suggestion your girlfriend is the expert on what she needs and wants in relationship you could simply say to her that you know you still have a lot to learn about how to have a good relationship and you realize youre not yet understanding what she needs and you really want to then take a deep breath settle down and listen dont argue dont interrupt dont judge listen let her know what you understand and that youre open to hearing more learning more if youre not quite getting it yet and then listen some more be present and curious about this person you love dearly and dont want to lose this is the first step toward intimacy,1,1,T,F,0.8114950060844421
1777,my mom is always bossy and treats me like a child even though im in my s she argues with me over stupid stuff,familyconflict,this sounds like a pretty difficult dynamic and i am sorry to hear how it is impacting youi would encourage you to try and observe the relationship from an outside perspective to begin with  try to see what it is that causes your mom to be upset such as you responding in a tone of voice she doesnt like and see if there is something you could change on your end  if you are able to change something like your tone of voice start there  you could also try asking what you could do to help perhaps she is frustrated that the trash wasnt taken out  you could also sit down and try to hash things out with her if you feel like that could be beneficialultimately you are only in charge of you  the things you say your behaviors are all controlled by you  so it is important to recognize that no matter what you cant control what she says or does  obviously the things we say or do can impact others which is why you are frustrated over her behavior  but remember that you are able to only control yourself  seeking therapeutic intervention could also be beneficial for you and even having her join in to help  i hope you are able to figure something out and i wish you well,1,1,T,F,0.7384512424468994
880,my dad is always and i mean always cussing and screaming at me for no reason at all he makes me feel stupid he also compares me to my other siblings in a negative way and demeans me is this abuse,parenting,oh my goodness my heart goes out to you  i pray you have other strong and supportive loved ones or friends surrounding you if you are in school please consider speaking with a counselor on site who can help give you some good coping mechanisms as well as other resourcesi believe most therapists would agree that this type of behavior is indicative of emotional and verbal abuse and quite often the two overlap because someone who is being yelled at and demeaned is also frequently having hisher emotions preyed upon as well healthy place offers us some great examples of emotional abuse which certainly fit the criteria of what you describeyelling or swearing name calling or insults mockingthreats and intimidationignoring or excludingisolatinghumiliatingdenial of the abuse and blaming of the victimand abuse survivor and author kellie jo holly offers some other great examples of verbal abuseemotionally abusive statementsyoure so cute when you try to concentrate look at you trying to thinki cant believe i love a stupid jerkaw come on cant you take a jokesexually abusive statementsyou should know how to please me by nowi hoped you were less experiencedstop acting like a whorefinancially abusive statementsyou are going to nickel and dime me to deathin what world does buying that make sensefine you handle your finances let me know when things go to hellsocietally abusive statementshow dare you spread around our private businesslet me do the talking people listen to menyou took a vow in front of god and everybody and i expect you to honor itthreatening and intimidating statementsif you dont train that dog im going to rub your nose in its messi will take our kids if you leave meyoure scared this isnt angry you will know when im angryspiritually abusive statementkeep your stupid beliefs to yourselfgod will find a way to get you back and it aint gonna be prettyi can feel myself being pulled into hell just listening to your nonsenseits been my personal clinical experience that children who are experiencing the types of things you describe often say they feel misunderstood lonely or scared and dont want to make things worse by standing up for themselves even if you feel you cant defend yourself outwardly that doesnt mean your fathers awful and toxic behavior is something you should ever internalize ie believe to be true which is why i hope you are surrounding yourself with people who will speak life and positivity back over you  we are all worthy of respect love and kindness dont ever forget thatmy love and light to you hontamara powell lmhc,1,1,T,F,0.9606456756591797
2209,i dont feel like myself anymore for example i could walk up an entire flight of stairs before realizing that my legs are moving i feel like im watching my life be lived by someone else,behavioralchange,you may be experiencing a form of dissociation called depersonalization  people with this type of dissociation may feel disconnected from their bodies feel that they are watching their bodies from a distance or may not recognize their image in the mirror  dissociation sometimes occurs after someone experiences something traumatic  i would suggest working with a therapist who specializes in dissociative disorders as dissociation does not typically resolve on its own  on my website i have some information specific to dissociation that you may find helpful  best of luck to you,1,1,T,F,0.6939206719398499
2096,we went out had great sex and i was really liking her then one day she says we should just be friends but i cant stop thinking about her shes always on mind and i want her back,relationships,it can be really difficult when someone you care about doesnt feel the same about you the most important thing to remember is that you can not make her feel a certain way  there is nothing you can do to force her to want to be in a relationship with youin the end if she just wants to be friends then shes probably not the right match for youremember every relationship ends  until that last one that doesnt  and that is how its supposed to be,1,1,T,F,0.6448109149932861
2103,he is in his late thirties and i am in my mid twenties we have been together for about  months i really like him he says he cares about me and is willing to fight to make things right he has been very apologetic and expressed he did it out of fear i dont know if its worth giving him a second chance,relationships,cheating is often a sign that something is amiss in the relationship his fear may be full of information while its possible to repair relationships after a betrayal its also challenging to do especially so early in your relationship i cant tell you if you shouldshouldnt give this relationship a second chance but i will tell you to tune into your own intuition and follow your own fears in doing so they often are incredibly informative when we dont push them away with denial,1,1,T,F,0.5029881000518799
1568,my boyfriend wont touch me intimately he wont kiss me while we are having sex and he wont have oral sex with me i know he has done this things with other women in the past i dont know why he wont do them with me what should i do,intimacy,first off dont blame yourself or be too quick to jump to any scary conclusions  human sexuality can be incredibly complex at times eg what turns us on at one time may not be what turns us on the next time there could actually be a number of things going on including him having performance anxietymaybe he had a bad experience with a previous partner thats left him scared to try again we call this operant conditioning  it could also be that he puts you in a different category than previous lovers  sometimes i refer to this as the hookerhousewife mentality where a partner somehow gets the idea that when we truly fall in love we treat that one differently almost up on a pedestal  drives many partners crazy until theyre aware that this is going on and give their boyfriend girlfriend permission to enjoy both the naughty and the nice with them it could also be that hes not even aware that hes not doing these things if you havent asked him yet you might try gently approaching the subject when youre not already in the bedroom or trying to get in on and inquire what he most enjoys about sex with you or has enjoyed in the past or thinks he might enjoy  you can also share your favorite highlights of sex with him  give him an ego boost and tell him what he does well while then asking him if hed be down to go downtown  baby it really turns me on when you kiss me during sexif you continue to get the impression that its somehow only about you or that hes just really hesitant to talk about sex in general you might see if hed be cool to chat with a counselor who specializes in sexual intimacy,1,1,T,F,0.7432579398155212
1146,she said she needed space after three days of dating and she got a boyfriend a week later i still really miss her and she told me she still likes me,relationshipdissolution,given the short amount of time you know this girlfriend there is no history on which to make a judgment about the likelihood of what she will do nextcertainly she is confusing by telling you she likes you and is with someone new  and not giving you any explanation as to why she made her decisionid suggest two possibilitiesspeak with her and ask her if she considers opening your relationship with heror simply wait and see what she does when you contact her in a friendly waypay attention to your own satisfaction levelif you get more answers from her which arent agreeable with you then it is time to put the hope for this relationship behind youthen youll have clear space to find someone who is as interested in you as you are in them,1,1,T,F,0.6300409436225891
2630,i have been with this guy on and off for  years at first we used to do things together and our sex life was ok then things started to change wed break up and reconnect and he cheated on me numerous times  weve also had two beautiful baby girls during this time now we argue and he says i am not affectionate at all or i dont know how to please a man when i work parttime take care of a  year old and a  month old and cook sometimes he cooks but he also spends a lot of time on the internet in addition i have  boys and he has  son i feel somewhere i have lost something its not that i dont care i truly love this guy but im just tired of being the one who is always being judged please i am in need of a christian counselor to help us because i really need to speak to someone,relationships,i dont think youve lost something i think youve found something  your breaking point and its about time your boyfriend seems to be a very selfish and immature man who reconnects with you when its convenient for him obviously he has his own issues but i want to address yours i agree you need to talk to someone the fact that youve put up with his repeated cheating and then letting him blame you for it by saying youre not affectionate enough etc tells me you probably have low selfesteem and have likely told yourself over the years that you dont deserve any better you do you may truly love this guy but based on his behaviors he does not love you not in the way you deserve  and although you may want to believe he can change he has proved over and over again that hes not willing to so you need to do what is best for you and your children what would you tell your daughters if someone was treating them this way would you want your sons to treat women this way thats what youre teaching your children when they see thislike i said i agree that you should talk to someone you can ask your boyfriend to go too but my guess is he wont even if he does you should still see someone individually to work on you i understand its not easy to just kick him out especially since you have children together but a counselor can help you talk through all the details while helping you raise your selfesteem and selfworth,1,1,T,F,0.5922699570655823
2090,my boyfriend says im nuts i need to get help because i get an overwhelming feeling that he is cheating on me whenever i try to talk with him about it he always turns it around on me by telling me what im doing wrong i know that accusing him does not help when his whole demeanor shifts towards me i cant help but think that something is wrong am i wrong for feeling this way i try to talk with him to make it better i let him know when i am feeling down but i am not confident in these things  two weeks ago a girl texted his phone  times trying to hook up with him he texted her back with sorry ive been working i just read your message the girl was trying to get him to call her at a time when he was at home with me he texted her back with dont text me anymore i dont feel like i am way out of the line but i cant talk with him if all that he will say is that im crazy and i need help what should i do how will i go about checking if there really is something wrong with me,relationships,trust your intuition that your boyfriend is involved with other peopleyou gave examples which strongly suggest thisquite commonly a person twist someones words to convince then of having problems in seeing or understanding their own and others behavioryour intuition is again working quite well in telling you that your problem is having a boyfriend who manipulates you not that youre seeing things incorrectlyone way to check if youre totally misreading him is to examine whether you feel similarly in other relationshipsif no one else who knows you tells you that youre crazy then this strongly points to your boyfriend twisting words so that you feel wrongalso a consult with a therapist would clarify the dynamics between you and your boyfrienda therapist session would also allow you to think out loud in a confidential discussion what to do with your newfound clarity,1,1,T,F,0.5073165893554688
407,i have a lot on my mind but all i want to do is stay locked in my room and not socialize with anyone why do i feel so alone,depression,it has been said that depression is often the result of a blocked goal  often people struggle with both anxiety and depression but have difficulty determining which is the most important issue for some depression is the result of frequently blocked goals and when their predominant issues are evaluated they discover that they are anxious worried about a lot of areas in their life but seem to find no relief  when there is no relief and there have been numerous attempts either in their mind or in practical application to resolve the anxiety depression is often the result  in this type of case depression is not the main or underlying issue the anxiety is the underlying issue  having a lot on my mind sounds like anxiety unresolved anxiety can lead to feelings of depression which are often associated with emptiness  in the question above i would want to evaluate all of the issues surrounding having a lot on my mind and determine where these might be coming from has there been ongoing rejection from peers from family if so why does this seem to be happening  isolation is often a protective measure that one implements to avoid further pain where does that need to protect originate  are there unmet needs from childhood are there traumatic life events that have created a need to selfprotect as a defense mechanism we can feel alone even when in a crow of people or at a party  this has nothing in this case to do with being around people it has more to do with how we view ourselves  if there is a prevailing message or script that has been internalized that says you are worth nothing or you dont deserve the company of others then being around people will not alleviate the problem but only exacerbate it i would want to evaluate how one feels about themselves and what negative messages one has received and has repeated to oneself over time the developmental needs meeting strategy is a therapy aimed at addressing unmet childhood needs if there is specific trauma that is associated with socializing with people then emdr can be very helpful in desensitizing and reprocessing the trauma  looking at whether this individuals issue with emptiness is straight depression or whether it is depression as a result of unresolved anxiety is key to determining a treatment strategy,1,1,T,F,0.5330653786659241
979,"tonight my husband seemed to put our son down through an incorrect approach his approach was perfectly wrong i found myself defending my son i told him that what he did was not the way to encourage our son
 instead of watching my husbands harsh behavior i decided to sit beside my son and together we worked on his science assignment in order to encourage him to study my husband got upset and he was swearing at me he threatened me i knew that he was not joking his words scared me a lot",parenting,i have had these many cases but in situations like this if it does get out of hand the police do need to be involved sit down and talk to your husband when he is calm and collective,1,1,T,F,0.6340237855911255
1245,in particular during family gatherings such as funerals where there are different customs,spirituality,i think the best thing you can do is be respectful of each family members wishes although everyone may not agree with one another the most important thing you can do for each other is to respect their faith and beliefs instead of trying to sway them in a certain direction there are many families that are united despite their differences for example a mother may be catholic and the father jewish by introducing the children to each faith until they are ready to decide for themselves can be beneficial also its not uncommon for views to change as one ages or faces different life experiences so dont get too discouraged if your child wants to explore different avenues creating a loving and accepting environment is most essential,1,1,T,F,0.7244155406951904
1410,i have been having horrendous nightmares this whole month,sleepimprovement,one of the ways to decrease nightmares is to document your dreams in addition to keeping a dream journal its important to work with the content of the dream and revise the endingits important for you to work with a therapist that is trained in dream work  the researcher  montangero  pointed out that in  using the cognitive approach to dream analysis the therapist follows the basic tenets of cognitive behavioral therapy and that they help the individual to enhance their cognitive skills in order to be able to alleviate their psychological distress for example in the treatment of nightmares one of the methods that is used with the cognitive approach is imagery rehearsal therapy the basic premise of the approach is that those who have recurring nightmares and are experiencing insomnia later come to understand that the insomnia is brought on by anxiety unlike cognitive experiential dream theory the approach does not integrate other theoretical orientations the approach to nightmares and the treatment of them is aligned with cognitive experiential dream approaches as the individual has the opportunity to revise their dream if they have an unpleasant dream although the scary dreams  may not disappear altogether they may lessen in frequency,1,1,T,F,0.5655956268310547
